ID_Info,SAP_Technologies,Programming_Languages,Databases,Web_Technologies,Communication_Skills,Business_Skills,Technical_Skills,Development_Tools,Other_Skills
59389,Test Cases; Test Data; Java; Spring; Artificial Intelligence; Technical Design,ExtJS,,,,,,,Hibernate; Web Technologies; Agile
70070,Inventory Control; MIS Reporting; Store,,,,,,,,
68495,Growth Hacker; SEM; content marketing; analytics; SEO; digital marketing,advertising,,,,,,,referral marketing; affiliate marketing; email marketing
35495,Content Development; Soft Skills Training; Voice; Accent,Training Delivery,,,,,,,Process Training
7737,sr._trainer/course_developer; networking,,,,,,,,
2569,wise; package; studio; wisescript; mdop; adminstudio; vmware_workstation; appsense; patch_management; windows_registry; windows_client; microsoft_app-v; desktop_virtualization,winbatch,,,,virtual_desktop,,,installshield; windows_installer; autoit; desktop_administration; vbscript; microsoft_windows_7; software_packaging; computer_engineering; software_deployment; operating_systems; microsoft_wsus; ibm_cognos_tm1; windows_imaging_component; war; jar; vmware_view; vdi; virtualization
121793,Warranty; Customer Satisfaction; Diesel Engines; Distribution Network; Technical Training; Market Intelligence,Channel Partners,,,,,,,Dealer Network; Maintenance; Field Service
69086,Industrial Relations; IR; Employee Relations; Industrial Relations Manager,,,,,,,,
74536,Hardware; IPSEC; Tacacs; Networking; Checkpoint; Network Security,SSL VPN,,,,,,,Switching; Firewall; Routing Protocols
98704,data ware house; dw; etl; Ab Initio; business intelligence,datawarehouse,,,,,,,data warehousing; dwh
29706,IT Services; Financial Planning; Analysis; Finance; Variance Analysis,Forecasting,,,,,,,Budgeting
127597,c#; asp.net; Javascript; Jquery,,,,,,,,SQL
68696,Institutional Sales; Corporate Sales,,,,,,,,
6801,ajax; jquery; css; html5; web_development; xml; ember.js; restful; web_api; dhtml; svn; microsoft_sharepoint_designer; microsoft_bids,ui,,,,microsoft_sharepoint_administration,,,mvc; javascript; web_services; node.js; dojo; sencha; yui; apache_struts; ext_js; apache_tomcat; json; jquery_ui; mobile_development; html; adobe_dreamweaver; php
30169,HRIS; File Manager; Coordination Skills; Excel Powerpoint; Onboarding,Leave Management,,,,,,,Core HR; Hiring
52142,Freshers; Call Centre; UK; US; inbound; fresher; Technical Support; chat process; process,Back - Office Processing,,,,,,,Australian; collections; voice bpo; BPO; Upselling; customer service; voice process; non voice bpo; voice; outbound bpo; outbound
105251,Hadoop; Redis; Cassandra; ElasticSearch; Ruby,MySQL,,,,,,,Python; Linux; Reliability Engineering
86798,Python Developer; Python; Django; SQL,PostgreSQL,,,,,,,jQuery
1165,platinum; ibm_spufi; fileaid; qmf; syncsort; oracle_service_bus; bpel; owsm; pl/sql; oracle_reports; oracle_forms; pinterest; life_insurance,xpediter,,,,insurance,,,ibm_db2; fmw; oracle_fusion_middleware; oracle_soa; changeman; zeke; serena; hogan; esp; clist; oracle; oracle_applications; oracle_workflow; fsa; ssi; succession_planning
64503,Liferay Developer; JSR 168; 286; XML; Java; Spring MVC; XSD; HTML 5.0,NetBeans,,,,,,,YUI; J2EE; Struts; Web Services; CSS 3.0; JavaScript; JQuery; DOJO; Eclipse; ANT; Maven
96896,R; D; Research; Formulation Development,Optimization,,,,,,,Formulation
122083,Hadoop; Pig; datamodeler; etl; bo; Data Modeling; erwin; business objects,cubes,,,,,,,online analytical processing; bi; Shell Scripting; data mining; data architect; informatica; olap; ssas
2655,watchguard; sonicwall; connectwise; hp_procurve; sbs; ca_arcserve; microsoft_windows_server_2003; backup_administration; sourcefire; utm; snort; wap; igmp,kaseya,,,,market_data,,,firewall; backup_exec; veeam; backup; barracuda; spiceworks; trend_micro; spam; antivirus; waf; fortinet; juniper; ccse; lbm; fix; production_engineering
120179,Tied Channel; Providing Training; Sales Management; Team Management; Productivity Improvement,Agency Channel,,,,,,,Life Insurance
93594,Content Strategy; SEO; SMO; HTML; Webmaster; SEO Manager,CSS,,,,,,,Link Building; Blogs; Data Mining
46845,Graphic Artist; creative solutions; Photoshop; Illustrator,,,,,,,,
97760,JSON; Layout Design; RESTful APIs; Java; OOP; Android SDK,Android,,,,,,,Algorithms; Data Structures; System Design
25118,C++ Developer; C; C++; RDBMS; Database Design; Capacity Planning,Linux,,,,,,,Unix; Windows; Design Patterns
125065,Graphic Designing; Typography; UX; Inkscape; Corel Draw; Javascript; Adobe Illustrator,Illustrator,,,,,,,Photoshop; HTML; CSS; Animation
30788,Hotel; Institutional Sales; Hospitality sales; B2B; Corporate Sales; B2B Sales; Sales and Marketing; Solution sales,Travel Industry,,,,,,,Sales Management; Sales Manager; BD; Business Development
25434,investment banking; market analysis; gic; lending; mba,captive,,,,,,,financial analysis; cas
83738,Proposals; Project Review; mechanical; metro; plumbing; rail,HVAC,,,,,,,Resource Planning; detail design; MEP design
62433,Key accounts; Modern trade,,,,,,,,
66306,MTS_NGN_SSE,,,,,,,,
89309,Area Sales Management; Collection Management; Business Growth; Business Development; Distribution; Cross Selling,Regional Sales,,,,,,,Market Penetration; Promotions; Profitability
26423,Call Center Executives,,,,,,,,
63872,Design Analysis; Corrective Action; Improvement Activities; New Product Development; Process Engineering; Product Quality,Quality Improvement,,,,,,,NPI; Continuous Improvement; System Design
118143,UX; Angularjs; Wireframe; Visualization; HTML; UI Development; Web Technologies; UI,Javascript,,,,,,,CSS; Dreamweaver; Photoshop; Html5; Java
126389,Hardware; Addition; Configuring; Networking; System Administration; Server Administration,Firewall,,,,,,,Network Administration; LAN; Network Security
102775,CPD; CDMD; CES; dashboard development; MCD,MSTR,,,,,,,schema design; microstrategy; data mining
76244,BLENDED; INBOUND; INTERNATIONAL VOICE PROFILE; US SHIFT; OUTBOUND; CUSTOMER SERVICE; TECHNICAL SALES; TECHNICAL SUPPORT,INTERNATIONAL CALLING,,,,,,,UK SHIFT; NIGHT SHIFT; CUSTOMER SUPPORT; BPO
121910,Industrial sales; Sales Management; direct sales; B2B,,,,,,,,B2C
15995,Area Sales Management; IIM; Client Relationship; Product Marketing; Customer Acquisition,Regional Sales,,,,,,,B2B Sales; Product Positioning
122241,Sales Executive Activities; English; Pipeline Management; Communication Skills,,,,,,,,Field Sales
59502,Java EE; JMS; JAXB; EJB; XML; Oracle,JPA,,,,,,,Spring; Web Services; Weblogic
38183,Electricals; electronics; diploma; Electrical Engineering; Commissioning; Electrical Installation; Electrical Diploma; electrical iti,Electrical Maintenance,,,,,,,Maintenance; Testing; Substation; Switchgear; electronics diploma; Electrical Engineer
66896,operation sautomation; btechapi; mca; cd,firewall,,,,,,,fmcg
52028,Veritas Cluster; Veritas Volume Manager; NIM; Aix,,,,,,,,Performance Tuning
24560,P&amp;L; Cooking Oil; Mass Market; Bulk Oil; Palm Oil; Marketing,Soya Oil,,,,,,,MusturdOil; Mass Market edible oil distribution; Sales; Edible Oil
50453,Health Insurance; direct selling; Direct sales; direct marketing,,,,,,,,sales marketing
28815,commercial business development; commercial manager sales; sales; business development,commercial sales,,,,,,,direct sales
40041,* Mortgage insurance; * Claims; * Short sale; * valuation; * Home retention; finance,investor reporting,,,,,,,* Foreclosure; non voice; * Bankruptcy
109759,Indirect Taxation; Returns; Information Management; CST; Auditing,Service Tax,,,,,,,VAT
38461,Infotainment; Embedded Development; Stakeholder Management; QT; OOAD; People Management,Embedded Linux,,,,,,,C++; UML; Project Development
36866,ASP.Net MVC; Integration Testing; SQL Server; C#.Net; Visual Studio; Team Management,Ajax,,,,,,,JQuery; .Net; OOPS
26616,Captiva &amp; Documentum Consultant; Captiva; IT consulting; business application development; systems integration,Documentum,,,,,,,Captiva 7.x; product engineering
98986,Software Development Methodologies; Communication Protocols; collections; BACnet; Core Java; Javascript; HTML5,Niagara Framework,,,,,,,LON; Multithreading; Data Structures; SNMP
3186,canopy; clustering,,,,,,,,
123509,investment banking; bonds; derivatives; capital market,,,,,,,,financial reporting
93858,Languages; Information Security; ISMS; SIEM; Perl; CEH,Open Source,,,,,,,juniper firewall; Python; SQL; SOC
3408,capm; prince2; it_transformation; transition_management; project_management; gdps; xcelsius; brf; project_implementation; project_budget; planning; microsoft_project_server; pmis,balanced_scorecard,,,,resource_management,,,pmo; ebp; spro; geology; sap_project_management; sap_fi; sap_pm; sap_implementation; six_sigma; sap_mm; pmp; contingency_plan; stakeholder_management; pmbok; pmm; wbs
7396,cybersecurity; cyber_security; security_solutions; security_products; network; business_development; renewal; renault; payroll; software; banking; account; mobile_payments,network_products,,,,sales_strategy,,,security; network_performance; sales; new_business; cap_gemini; peugeot; french; english; software_sales; erp; enterprise_resource_planning; financial_services; core_banking; retail_banking; account_manager; account_management; mobile_banking; m-commerce; mobile_money; e-wallets.; market_data; analytics; financial; ems; electronic_manufacturing; electronics_manufacturing; manager; director; itom; itsm; pharmaceutical; pharmaceuticals; front_office; front-office; fo; trading; retail; managed_print_services; mps; quota_carrying; digital_marketing; online_advertising; online_ads; online_marketing; marketing_online; social_media_marketing; pci; pci_dss; pci-dss; pci_qsa; pci-qsa; technical_sales; sale; strategies; strategic; management; enterprise; it_sales; enterrpise_sales; cloud; clouds; clouding; datacenter; swedish; csp; nordic; nordics; pen_testing; penetration_tester; penetration_testing; pharmaceutics; pharma; healthcare; biotechnology; bank; finance; iso27001; risk; risk_management; compliance; is27001; accounting; saas; construction; customer_relationship_management; it; arabic; new_business_developement; solution_sales; japanese; japanese_language; japanese_linguist; native; fluent; mother_tongue; bilingual; marketing; client_solution; client_service; analytic; product_management; advertising_technology; ad_tech; digital_video; digital_media; display; mobile; video; social; custom_content; health; enterprise_sale; technology; techinical; brand_advertising; media_sales; advertising; media; social_media; channel_management; channel_sales; channel_support; partner_sales; software_as_a_service; enterprise_performance_management; epm; cpm; fms; tms; power_generation; power; electric; electrical; energy; financial_analysis; t&d; transmission; distribution; mba; master; bd; transmission_&_distribution; substation; hv; medium_voltage; mv; low_voltage; lv; high-voltage; medium-voltage; low-voltage; grid; high_voltage; electric_power_transmission; subtransmission; electric_power; electrical_power; power_energy; swedish_(native); capital_markets; capital_market; treasury; network_security; information_security; siem; female; security_sales; business_analysis; business_development_manager; payments; payment; business_development_strategy; corporate_development; in-license; in-licensing; external_technology_platforms; technology_platforms
36716,tools; c  net; uml; design patterns; socket programming; detailing,coding,,,,,,,multithreading; computer science; network programming
111343,NOC Engineer; backups; monitoring; Networking,,,,,,,,CCNA
122117,Aruba; Cisco Wireless Controller; Aruba Wireless; Network wireless,,,,,,,,
51398,JSON; XML; UX; Front End; JQuery; Product Development,CSS,,,,,,,Javascript; Ajax; Dreamweaver; HTML
38909,rest api; java; j2ee; spring,,,,,,,,webservices
34848,development; usb; graphics; networking; system verilog; multimedia,wimax,,,,,,,wireless; debugging; specman
27637,Technical Architecture; technical architect; .php; .net; Python; scalability,Java,,,,,,,Ruby; C++; Requirement Gathering
1280,pnl; front_office; trading; middle_office; fx; trade_management; pricing; gui; mutual_funds; investment_management; etf; otc; murex,algorithmic_trading,,,,regulatory_reporting,,,equity; equity_derivatives; valuation; credit_default_swaps; bonds; mbs; brokerage; emerging_markets; ion; infrastructure_management; fixed_income; portfolio_management; charles_river; derivatives; collateral_management; gmi
11998,Proposal Management; Digital Asset Management; Account Director; Strategy Development; Client Development,Advertising,,,,,,,Client management
45648,guest relations; executive; guest relation; be; step; bhm,area,,,,,,,hotel; experience; customer service
72567,US Healthcare; Night Shift; Medical Transcription; Nursing; BDS; BPO; Bsc; ba english,B Pharmacy,,,,,,,M Pharmacy; MBBS; healthcare executive; Medical Coding; ma english; Msc
92606,SAP LE - TRA; SAP LE; Shipment; Transportation,,,,,,,,SAP Logistics
99536,Senior Instrumentation Engineer,,,,,,,,
240,sputtering,,,,,,,,
117313,sap hana,,,,,,,,
43119,Financing; Financial Controls; Financial Modeling; Corporate Accounting; Accounts Receivable; Accounting; Budgeting,Auditing,,,,,,,Finance; Cash Flow; Financial Management; Financial Planning
75391,XML; JSPX; XSL; OTM; Technical Architecture; Cash Flow,SQL,,,,,,,Oracle Transportation Management; Access Control; Transport Management; PLSQL
68000,Institutional Sales; Government; Institutions; Builders,Architects,,,,,,,Contractors
99725,llb; compliance; Drafting; Legal,legal executive,,,,,,,legal manager
23006,Business Analysis; Equity Portfolio Management; Equity; QlikView; software development,Business Analyst,,,,,,,Tableau; OBI
68595,key account; manager Key account; account Management; client servicing,client relationship management,,,,,,,client management
36590,Inbound; Day shift; BPO and ITES; BPO and Call Centre and ITES; Fresher and Entry Level; BPO; Cce; Customer Support,Freshers,,,,,,,BPO and Call Centre; Inbound Process; International BPO; Voice; Domestic BPO
22912,Communication Skills; Marketing; Mba Fresher; sales,bpo,,,,,,,Business Development
42384,training management; programming management; development project and manager; design management,,,,,,,,learning management
41905,Shipment; Brand Awareness; Sales; Export; Customer Satisfaction,Shipping,,,,,,,Insurance; MIS Reporting
115892,Sales Executive Activities; Telesales; Telecalling; Calling,,,,,,,,Real Estate
128321,Human Resource,,,,,,,,
121260,Sales Coordinator; sales,,,,,,,,
16567,hotel management; excellent; functions; dynamic; graduate; assistant,guest,,,,,,,manager; institute; operations
75337,Bpel; ESB; Oracle SOA Suite; Mediation; Oracle 10G,11G,,,,,,,Adapters; Reverse Engineering
78752,C; C++; Java; Python; OS; Openstack; Container; SDN,NoSQL,,,,,,,Linux; Docker; Netconf; Cloud; Neutron; API Skills
6987,atl; windows_api; activex; etrm; wcf; odbc; rtf; serial_communication; irix; microsoft_windows_2000; microsoft_direct3d; mdi; microsoft_windows_8,multithreading,,,,career_counseling,,,wpf; mfc; ole_db; gpib; com; reading_comprehension; com+; active_listening; visual_basic; asp; visual_c++; opencv; gui; microsoft_windows_sdk; sdk; microsoft_blend
108800,IT Procurement; IT Management; IT Infrastructure Support; Information Security; Asset Management,Vendor Management,,,,,,,Printer Support; Server Management
100113,HR; Sourcing Strategy; Interviewing; Talent Acquisition Manager; RPO; Social Media,Talent Acquisition,,,,,,,Campus Recruitment; Staffing; Training
64196,Comparative Analysis; Written Communication; Communication Skills; analytical abilities; Web Technologies,Online Research,,,,,,,Web Research
109158,Telephone Handling; Standard Operating Procedures; Operations; Business Strategy,Customer Service,,,,,,,Call Center; travel; business planning
82474,Officer design &amp; development drug products packaging material; drug products packaging tecnhologist; pharma F&amp;D packaging development executive; formulations packaging development executive,,,,,,,,
104190,Operations Management; Quality Improvement; Product Quality; Shell; C,programming,,,,,,,Perl scripting; C++
8997,project_coordinator; creative; packaging; graphic_design; brand; adobe_creative_suite; photoshop,marketing,,,,,,,traffic_manager; print; production; illustrator
90419,Lead Generation; Telecalling; Marketing; Business Development; voice process; cold calling; upselling,client servicing,,,,,,,sales; bde; telesales; outbound sales
67486,Industry Research; Due Diligence; Business Growth; Ratio Analysis; Business Development,Financial Statements,,,,,,,Finance; Service Quality
101708,views; php 5 x; html css; senior software; drupal; portals,jquery,,,,,,,mysql; oops concepts; software engineer
29653,Consulting; Recruitment and Staffing; Head Hunting; recruitment,,,,,,,,
74131,BFSI Sales; Advisory Head; Advisory; Sales Head,,,,,,,,
118586,Compensation; Benefits; Payroll Administration; Recruitment; BPO,Call Center,,,,,,,HR; Calling; US Payroll
39127,git; adaptability; experience; nosql; design patterns; design,computer science,,,,,,,oop design; algorithms; data structures
24812,Business Research Analysis; Standard Operating Procedures; Powerpoint; Competitive Intelligence,,,,,,,,Organizational Development
110766,Bca; B.Tech; Communication Skills; Bba; Problem Solving,Mba,,,,,,,Bsc
52791,Internet Banking; Merchant Acquiring; Liability Products; Digital Banking; Risk Control,ATM,,,,,,,Mobile Banking; online banking
74287,HBase; Hadoop; Pig; Natural Language Processing; data regression; Machine Learning; Algorithms,Power User,,,,,,,NLP; and rules based models; Java; Python
94895,Inside Sales; Sales Coordination; sales support,,,,,,,,
34333,Call Center Operations; Inbound; Action Plan; BPO; Operations management,Operations,,,,,,,Data Analysis
19859,Workers Compensation; Employee Involvement; Worker Policies and procedures; Statutory Compliance; Manufacturing HR,Employee payroll,,,,,,,Employee relations
24256,Business Development Management; Go Getter; Institutional Sales; Product Sales,,,,,,,,
30129,BW; Data Loader; P&amp;L Reports; BADI; Data loading; Balance Sheet,BW data,,,,,,,BADIs; SAP BPC; ECC
5906,microwave; transmission,,,,,,,,
73947,Database Administration,,,,,,,,
73547,Analytics; LGD; EAD models; credit card modelling; statistical modelling; PD,Retail risk analytics,,,,,,,model development; credit risk analytics; Sas; risk analytics
65936,Healthcare; Medical; Call Center,,,,,,,,
64141,IGT; GDS; LBF; Orbit; inbound; Fresher; Interglobe; Hinduja; sitel; Tour; Voice; call center,uber,,,,,,,ITES; cab; rental; Help desk; Customer Care; CCE; CSA; CSE; WNS; TRAVEL; MakeMyTrip; Sales; BPO; ecommerce; caller; Airline
89728,Sales; Business Development; Relationship Management; Distribution,Relationship Manager,,,,,,,Home Loans
102313,development; lte; customers; products; academic; software programming,channel partners,,,,,,,client; 3g; professional services
24228,Business Development Management; Sales; Cost Reduction,,,,,,,,
53004,bartender; hostess; bar skills; bar knowledge; barman skills,bartender skills,,,,,,,groomed; hostess skills
106207,SEN Teacher; sen faculty; Teaching; Education; Special Educator,Special Education,,,,,,,Counselling
8321,human_resource; recruiter; recruiting; hr,talent_acquisition,,,,,,,staffing
62809,Drools; Core Java; JDBC; JMS; Servlets; Web Technologies,Spring Framework,,,,,,,Hibernate; Web Services; SQL Development
93828,java j2ee; java developer; SOA; Java; jsp,core java,,,,,,,j2ee; struts; servlets
128756,Workday,,,,,,,,
29097,customer service; analytics; healthcare; consulting life sciences; service level,clinical research,,,,,,,data integrity
32052,Call Centre; call center; bpo; customer support executive; CSR; telecaller; customer service representative,call center bpo,,,,,,,customer service executive; Technical Support; Customer care executive; customer care officer
50381,Internal Control; FEMA Matters; Commercial; Taxation; Budgetary Control,Auditing,,,,,,,Finance; Transfer Pricing; Credit &amp; Risk
91300,Retail Operations; Luxury; Sales; Profitability; Data Analysis,Operations Management,,,,,,,Performance Improvement
32902,Test Data; Regression Testing; Test Planning; Test Scripts; Product Testing; Back Office,Test Execution,,,,,,,Test Case Creation; Effort Estimation; Project Design
102000,Analytical Skills; Hibernate; Spring; Core Java,Java,,,,,,,SQL
120467,Team Handling; Real Estate Sales; Business Development; Bde; Client Relationship Management; Real Estate; primary sales; direct sales,Client Acquisition,,,,,,,Bdm; sales; residential sales; Property
10469,Data Mining; Fraud Analytics; Digital Marketing; Machine Learning; Supply Chain,Text Mining,,,,,,,Predictive Modeling; Data Management; Root Cause Analysis
1193,partner; relationship; management; prm; business-to-business_sales; alliance_management; riverbed; strategic_alliance; channel_management; dmv; cross-browser_compatibility_testing; channel_marketing; advertising_mail,international_experience,,,,return_on_investment,,,encase; sosl; salesforce.com; amazon_simpledb; analytics; go_to_market; channel_sales; field_marketing; direct_sales; sales_management; sales; conversion_optimization; videography; grass; tac; marketing_strategy; direct_marketing; strategic_marketing
25967,Internal Audit; SOP; Quality; Standard; Quality Assurance,Process Compliance,,,,,,,Auditing; Process; Procedure
115415,BPO Hiring; Voice; Windows Server; Technical Support; Exchange Server; technical support executive; AD; Microsoft Office 365,DHCP,,,,,,,DNS; MS Office; Technical support engineer; customer support engineer
62183,Production Planning; Quality; Production Supervisor; Production Manager; Production; problem Solving; Manpower Handling; Production Engineering,Production Officer,,,,,,,Production Executive; AutoCAD; Auto Ancillary; Maintenance; Planning
67020,Business Development; Presales; Bd; VAS,,,,,,,,Value Added Services
69210,human resource; service; adaptive; engagement; ea; tax,skills,,,,,,,turnaround; policies; cpa
130046,z; OS DB2 DBA; Production DB2; Mainframe JCL; DB2,System Development Life Cycle,,,,,,,SQL coding tuning; SDLC
24268,Business Development Management; US Market; IT Management; Bu; Bd,Marketing,,,,,,,IT Sales; Sales Strategy
95448,telecaller female; Sales coordinator; telesales; tele marketing executive,,,,,,,,tele calling
113413,Team Leading; Recruit; Supervisor; MIS,,,,,,,,Telemarketing
27574,Chief Operations Officer,,,,,,,,
86437,Business Analyst; Business Strategy; Researching; Business Analysis,,,,,,,,Business and Integration Practitioner
50480,Heavy Equipment; heavy machinery; Electricals Heavy Equipment meters; circuit diagrams; machinery Heavy Equipment; Maintenance,wiring techniques equipment,,,,,,,reassemble vehicle parts; construction equipment; mining equipment
118475,c2c; maintaining; short listing; excellent communication; sql server 2005 2008; design and development,it recruitment,,,,,,,sourcing; it recruiter; relational database design
56639,Project Management; Project Leading; Integration Testing; Do - 178b; Software Development; Test Cases,Team Leading,,,,,,,Verification; Life Cycle; Communication Skills
52263,Email; international bpo; fresher; good communication; chat support; call center,Chat Process,,,,,,,inbound; voice support; outbound
50765,International Voice; Inbound Calls; UK Shift; domestic voice; process associate; Customer Service; customer support; csr,24 7,,,,,,,ites; process executive; llyods; BANKING; tsr; call center; bpo; cse; cso; voice process; client servicing
23751,Business Development Executive(BDE),,,,,,,,
992,product; lifecycle; management; plm; bill_of_materials_management; sap_plm; sap_ppm; mrs; pneumatics; windchill; avl; agile_plm; mks,teamcenter,,,,pcm,,,enovia; bmide; mql; trex; ppm; product_innovation; siemens; allen-bradley; programmable_logic_controller; control_engineering; vfd; ptc; ecad; esi; mcad; pqm; acs; pdm
12397,General Accounting; Mba Finance; Budgeting; Variance Analysis; CMA,Forecasting,,,,,,,Financial Planning; Ca
73688,Dissolution; GC; Analytical Techniques; ARD; Analytical Research,Analytical research and development.,,,,,,,ARDL; Method Development
33129,Data Center Operator,,,,,,,,
95872,international sales; sales plan; inside sales; international business development; market research; publishing,Business Development,,,,,,,lead generation; APAC; Corporate Sales; sales strategy
10542,Procurement Contracts; ELV; central procurement; contracts; Strategic Sourcing; Negotiation; contract negotiation; procurement,mep contracts,,,,,,,contract awarding; Vendor Management; Spend Analysis; Value Engineering; vendor development
15636,Flash; Actionscript; HTML; CSS3,,,,,,,,
34719,Plastic Design; UG; Surfacing; Unigraphics; CAD,3D,,,,,,,Product Design; Design
76222,Camel; XML; COTS - Comptel Provisioning; Amdocs Cramer; GIT; J2EE; Spring; Shell Scripting,APPTUS,,,,,,,Cloudsense; ANT script; Core Java; Web services; OOPS; Design; Oracle OSM; SALE; CVS
36104,JMeter; functional testing; Selenium; Load Runner; manual testing; jira,performance testing,,,,,,,automation testing; test engineer; QA analyst
127678,development; intermediate; project management; digital marketing; dell; adobe,portal,,,,,,,web design; cms; outlook
43574,Cabin Crew Activities; airhostess; airhostress; cabin crew incharge; ifm; ground staff; stewardess; senior cabin crew,inflight manager,,,,,,,ccic; cabin attendant; airline attendant; hostess; customer service; air hostess; crew
46536,Training Needs; Global Delivery; Accounting; Service Delivery; Agile Development; Account Management,Enterprise Software,,,,,,,Professional Services; Customer Engagement; Change Management
126109,chandigarh university; chandigarh bpo; chandigarh airlines; flight passenger; customer handling; flight steward; crew,cabin crew leads,,,,,,,modelling; air hostess; frankfinn; beautician
44894,Inbound Process; Spoken English; Computer Skills; Voice Process,,,,,,,,
28779,tools; co ordination; computer literacy; commercial activities; procurement; plants,knowledge,,,,,,,service contract; transmission line; executive assistant
22061,analytics; statistical tools; bio - statistician; Data Analysis; analysis; clinical research,data management,,,,,,,statistical analysis; clinical; biostatistics; clinical data management
32517,relationship; execute; clients; transactions; commodity trading; relationship manager,broking,,,,,,,compliance; rm; commodity
42120,FISTABLR; Java; J2EE application; Object - oriented Design; XML; EJB,ANSI SQL,,,,,,,Analysis; Struts; Hibernate
127909,Content Writing; Web Technologies; Web Development,,,,,,,,
31974,Customer Service; customer care; customer care executive; customer support; csr,csd,,,,,,,customer service executive; cse
95781,Sales Manager - Female - Mutual Funds -Banks &amp; National Distributors; sales targets; product information; addendums,financial planning,,,,,,,investment advice
39612,Estimation; proposal; contracts; boq; gensets; mumbai; nagpur; nasik; bidding; bid,Diesel engine,,,,,,,costing; generators; Pune; maharashtra; aurangabad; chennai; DELHI; gurgaon; noida; Project Design; Tendering; dg sets; hvac
10892,P&amp;L production; Options; Future; Interest rate; Front office,FX,,,,,,,Swaps; Product Control; Back office
89297,Relationship management with various departments...; Corporate Sales; Channel development...,,,,,,,,
19308,human resource; Recruitment; staffing; hiring,resourcing,,,,,,,talent acquisition
114940,HR; Interviewing; IT; Learning; domestic staffing; Technical Recruitment; Sourcing; Placement,Pressure Handling,,,,,,,Team Handling; domestic it staffing; domestic it recruiter; Contract Staffing
25121,C; C++; STL; SQL; ProC; XSLT,Oracle,,,,,,,Unix; Perl; OOPS
35948,procurement; supply chain; vendor management; strategic sourcing; telecom,development,,,,,,,customer service; cost reduction
93973,international bpo; international call center; Bpo Voice; Voice Process,,,,,,,,voice support
102594,UX; HTML; Dreamweaver; Photoshop; Web Designing; Web Technologies,CSS,,,,,,,User Interface Designing; Javascript; JQuery
6356,next; generation; sequencing; bioinformatics; dna; dna_sequencing; regulatory_affairs; fda; microbiology; molecular_biology; life_sciences; biology; knime,science,,,,agilent,,,biomedicine; biochemistry; computational_science; f#; iso_13485; numpy; assays; pharmacology; microscopy; sds; neuroscience; hla; extraction; diva; parallel_computing; eln; r; lims
37807,AIX Shell Scripting; Oracle Golden gate; ETL Developer; ODI; DWH; Data modeling,telco,,,,,,,Telecom; Datawarehouse; data warehousing; SQL
118615,Team Leading; US Residential mortgage trainer; SCM trainer; Supply Chain Management,Trainer,,,,,,,Team lead
118603,excellent communication skills; dynamic; relationships; client relationships; customer service; microsoft word,sourcing,,,,,,,interviewing; night shift; outlook
